Year,Gebietseinheit,sex,GeoCode,Value
1998,Braunschweig-Stadt,weiblich,K03101,7995
1999,Braunschweig-Stadt,,K03101,17554
1999,Braunschweig-Stadt,maennlich,K03101,9433
1999,Braunschweig-Stadt,weiblich,K03101,8121
2000,Braunschweig-Stadt,,K03101,17980
2000,Braunschweig-Stadt,maennlich,K03101,9638
2000,Braunschweig-Stadt,weiblich,K03101,8342
2001,Braunschweig-Stadt,,K03101,18070
2001,Braunschweig-Stadt,maennlich,K03101,9665
2001,Braunschweig-Stadt,weiblich,K03101,8405
2002,Braunschweig-Stadt,,K03101,18340
2002,Braunschweig-Stadt,maennlich,K03101,9753
2002,Braunschweig-Stadt,weiblich,K03101,8587
2003,Braunschweig-Stadt,,K03101,18915
2003,Braunschweig-Stadt,maennlich,K03101,10036
2003,Braunschweig-Stadt,weiblich,K03101,8879
2004,Braunschweig-Stadt,,K03101,19236
2004,Braunschweig-Stadt,maennlich,K03101,10210
2004,Braunschweig-Stadt,weiblich,K03101,9026
2005,Braunschweig-Stadt,,K03101,20275
2005,Braunschweig-Stadt,maennlich,K03101,10835
2005,Braunschweig-Stadt,weiblich,K03101,9440
2006,Braunschweig-Stadt,,K03101,20282
2006,Braunschweig-Stadt,maennlich,K03101,10840
2006,Braunschweig-Stadt,weiblich,K03101,9442
2007,Braunschweig-Stadt,,K03101,19875
2007,Braunschweig-Stadt,maennlich,K03101,10400
2007,Braunschweig-Stadt,weiblich,K03101,9475
2008,Braunschweig-Stadt,,K03101,19402
2008,Braunschweig-Stadt,maennlich,K03101,10079
2008,Braunschweig-Stadt,weiblich,K03101,9323
2009,Braunschweig-Stadt,,K03101,19399
2009,Braunschweig-Stadt,maennlich,K03101,10072
2009,Braunschweig-Stadt,weiblich,K03101,9327
2010,Braunschweig-Stadt,,K03101,19660
2010,Braunschweig-Stadt,maennlich,K03101,10142
2010,Braunschweig-Stadt,weiblich,K03101,9518
2011,Braunschweig-Stadt,,K03101,20214
2011,Braunschweig-Stadt,maennlich,K03101,10423
2011,Braunschweig-Stadt,weiblich,K03101,9791
2012,Braunschweig-Stadt,,K03101,20820
2012,Braunschweig-Stadt,maennlich,K03101,10696
2012,Braunschweig-Stadt,weiblich,K03101,10124
2013,Braunschweig-Stadt,,K03101,22122
2013,Braunschweig-Stadt,maennlich,K03101,11450
2013,Braunschweig-Stadt,weiblich,K03101,10672
2014,Braunschweig-Stadt,,K03101,23055
2014,Braunschweig-Stadt,maennlich,K03101,11948
2014,Braunschweig-Stadt,weiblich,K03101,11107
2015,Braunschweig-Stadt,,K03101,26108
2015,Braunschweig-Stadt,maennlich,K03101,13999
2015,Braunschweig-Stadt,weiblich,K03101,12109
2016,Braunschweig-Stadt,,K03101,28200
2016,Braunschweig-Stadt,maennlich,K03101,15165
2016,Braunschweig-Stadt,weiblich,K03101,13035
2017,Braunschweig-Stadt,,K03101,28420
2017,Braunschweig-Stadt,maennlich,K03101,15260
2017,Braunschweig-Stadt,weiblich,K03101,13160
2018,Braunschweig-Stadt,,K03101,29730
2018,Braunschweig-Stadt,maennlich,K03101,15925
2018,Braunschweig-Stadt,weiblich,K03101,13805
1978,Braunschweig-Stadt,,K03101,9253
1978,Braunschweig-Stadt,maennlich,K03101,5713
1978,Braunschweig-Stadt,weiblich,K03101,3540
1979,Braunschweig-Stadt,,K03101,9875
1979,Braunschweig-Stadt,maennlich,K03101,5989
1979,Braunschweig-Stadt,weiblich,K03101,3886
1980,Braunschweig-Stadt,,K03101,10987
1980,Braunschweig-Stadt,maennlich,K03101,6691
1980,Braunschweig-Stadt,weiblich,K03101,4296
1981,Braunschweig-Stadt,,K03101,11587
1981,Braunschweig-Stadt,maennlich,K03101,6987
1981,Braunschweig-Stadt,weiblich,K03101,4600
1982,Braunschweig-Stadt,,K03101,11655
1982,Braunschweig-Stadt,maennlich,K03101,7004
1982,Braunschweig-Stadt,weiblich,K03101,4651
1983,Braunschweig-Stadt,,K03101,11044
1983,Braunschweig-Stadt,maennlich,K03101,6614
1983,Braunschweig-Stadt,weiblich,K03101,4430
1984,Braunschweig-Stadt,,K03101,8749
1984,Braunschweig-Stadt,maennlich,K03101,5245
1984,Braunschweig-Stadt,weiblich,K03101,3504
1985,Braunschweig-Stadt,,K03101,8203
1985,Braunschweig-Stadt,maennlich,K03101,4879
1985,Braunschweig-Stadt,weiblich,K03101,3324
1986,Braunschweig-Stadt,,K03101,8213
1986,Braunschweig-Stadt,maennlich,K03101,4800
1986,Braunschweig-Stadt,weiblich,K03101,3413
1987,Braunschweig-Stadt,,K03101,8339
1987,Braunschweig-Stadt,maennlich,K03101,4841
1987,Braunschweig-Stadt,weiblich,K03101,3498
1990,Braunschweig-Stadt,,K03101,9877
1990,Braunschweig-Stadt,maennlich,K03101,5625
1990,Braunschweig-Stadt,weiblich,K03101,4252
1991,Braunschweig-Stadt,,K03101,10752
1991,Braunschweig-Stadt,maennlich,K03101,6225
1991,Braunschweig-Stadt,weiblich,K03101,4527
1992,Braunschweig-Stadt,,K03101,12045
1992,Braunschweig-Stadt,maennlich,K03101,7058
1992,Braunschweig-Stadt,weiblich,K03101,4987
1993,Braunschweig-Stadt,,K03101,12283
1993,Braunschweig-Stadt,maennlich,K03101,7022
1993,Braunschweig-Stadt,weiblich,K03101,5261
1994,Braunschweig-Stadt,,K03101,12511
1994,Braunschweig-Stadt,maennlich,K03101,7098
1994,Braunschweig-Stadt,weiblich,K03101,5413
1995,Braunschweig-Stadt,,K03101,12613
1995,Braunschweig-Stadt,maennlich,K03101,7061
1995,Braunschweig-Stadt,weiblich,K03101,5552
1996,Braunschweig-Stadt,,K03101,12541
1996,Braunschweig-Stadt,maennlich,K03101,6987
1996,Braunschweig-Stadt,weiblich,K03101,5554
1997,Braunschweig-Stadt,,K03101,12383
1997,Braunschweig-Stadt,maennlich,K03101,6829
1997,Braunschweig-Stadt,weiblich,K03101,5554
