Year,Gebietseinheit,Statistik,GeoCode,Value
2017,Diepholz,Veranschl. Kosten des Bauwerkes (1000 Euro),,127398
2017,Hameln-Pyrmont,Veranschl. Kosten des Bauwerkes (1000 Euro),,40764
2017,Hameln Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,23006
2017,Hameln-Pyrmont,Veranschl. Kosten des Bauwerkes (1000 Euro),,17758
2017,Hildesheim,Veranschl. Kosten des Bauwerkes (1000 Euro),,175090
2017,Hildesheim Stad,Veranschl. Kosten des Bauwerkes (1000 Euro),,77913
2017,Hildesheim(oh.H,Veranschl. Kosten des Bauwerkes (1000 Euro),,97177
2017,Holzminden,Veranschl. Kosten des Bauwerkes (1000 Euro),,19594
2017,Nienburg (Weser,Veranschl. Kosten des Bauwerkes (1000 Euro),,69616
2017,Schaumburg,Veranschl. Kosten des Bauwerkes (1000 Euro),,83693
2017,Lüneburg,Veranschl. Kosten des Bauwerkes (1000 Euro),,1739337
2017,Celle,Veranschl. Kosten des Bauwerkes (1000 Euro),,126552
2017,Celle Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,32566
2017,Celle (oh.Celle,Veranschl. Kosten des Bauwerkes (1000 Euro),,93986
2017,Cuxhaven,Veranschl. Kosten des Bauwerkes (1000 Euro),,188592
2017,Cuxhaven Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,37700
2017,Cuxhaven (oh. C,Veranschl. Kosten des Bauwerkes (1000 Euro),,150892
2017,Harburg,Veranschl. Kosten des Bauwerkes (1000 Euro),,405560
2017,Lüchow-Dannenbe,Veranschl. Kosten des Bauwerkes (1000 Euro),,41491
2017,Lüneburg,Veranschl. Kosten des Bauwerkes (1000 Euro),,128125
2017,Lüneburg Hanses,Veranschl. Kosten des Bauwerkes (1000 Euro),,42847
2017,Lüneburg (oh. L,Veranschl. Kosten des Bauwerkes (1000 Euro),,85278
2017,Osterholz,Veranschl. Kosten des Bauwerkes (1000 Euro),,114621
2017,Rotenburg (Wümm,Veranschl. Kosten des Bauwerkes (1000 Euro),,170171
2017,Heidekreis,Veranschl. Kosten des Bauwerkes (1000 Euro),,107920
2017,Stade,Veranschl. Kosten des Bauwerkes (1000 Euro),,252937
